customer_id,age,plan_type,city,join_date
C00088,43,Gold,Hyderabad,2020-11-14
C00089,32,Silver,Delhi,2022-01-15
C00090,27,Gold,Pune,2020-08-08
C00091,39,Gold,Hyderabad,2020-01-15
C00092,57,Gold,Hyderabad,2020-12-09
C00093,42,Gold,Delhi,2021-06-23
C00094,32,Bronze,Hyderabad,2022-08-26
C00095,30,Gold,Bangalore,2020-03-09
C00096,25,Gold,Bangalore,2020-05-20
C00097,38,Gold,Chennai,2020-02-13
C00098,38,Bronze,Mumbai,2020-01-17
C00099,39,Gold,Hyderabad,2021-11-19
C00100,50,Gold,Mumbai,2022-02-04
C00101,44,Bronze,Pune,2020-08-09
C00102,57,Bronze,Bangalore,2021-09-07
C00103,39,Bronze,Chennai,2020-10-09
C00104,47,Gold,Pune,2021-05-08
C00105,26,Bronze,Chennai,2020-08-08
C00106,52,Bronze,Delhi,2020-03-03
C00107,35,Gold,Bangalore,2021-09-22
C00108,59,Bronze,Pune,2020-01-20
C00109,22,Gold,Delhi,2020-09-19
C00110,44,Silver,Pune,2020-02-08
C00111,23,Bronze,Chennai,2022-08-19
C00112,49,Silver,Delhi,2020-06-24
C00113,25,Gold,Delhi,2021-09-01
C00114,56,Bronze,Bangalore,2020-05-09
C00115,38,Gold,Mumbai,2020-01-16
C00116,35,Silver,Chennai,2022-03-11
C00117,31,Gold,Chennai,2020-05-03
C00118,32,Bronze,Delhi,2020-05-01
C00119,59,Bronze,Delhi,2020-03-09
C00120,43,Silver,Bangalore,2020-09-28
C00121,49,Gold,Mumbai,2020-09-12
C00122,56,Bronze,Chennai,2020-10-25
C00123,45,Silver,Hyderabad,2021-10-16
C00124,56,Bronze,Hyderabad,2022-06-24
C00125,49,Bronze,Mumbai,2020-05-28
C00126,30,Gold,Pune,2022-03-10
C00127,32,Bronze,Bangalore,2021-11-12
C00128,35,Gold,Mumbai,2021-05-11
C00129,56,Bronze,Hyderabad,2022-05-16
C00130,23,Silver,Delhi,2021-09-22
C00131,28,Bronze,Hyderabad,2021-12-17
C00132,49,Gold,Delhi,2022-08-01
C00133,57,Gold,Bangalore,2020-09-18
C00134,37,Silver,Delhi,2022-08-11
C00135,50,Bronze,Mumbai,2020-12-20
C00136,57,Bronze,Delhi,2022-02-07
C00137,25,Silver,Pune,2022-01-16
C00138,52,Bronze,Mumbai,2021-04-28
C00139,22,Bronze,Bangalore,2020-01-28
C00140,52,Gold,Mumbai,2021-01-12
C00141,31,Bronze,Pune,2021-10-30
C00142,38,Bronze,Bangalore,2021-01-22
C00143,41,Silver,Hyderabad,2022-06-04
C00144,34,Silver,Pune,2021-12-18
C00145,35,Gold,Bangalore,2022-05-02
C00146,51,Bronze,Delhi,2022-02-24
C00147,29,Bronze,Mumbai,2020-07-17
C00148,33,Bronze,Bangalore,2021-06-28
C00149,21,Gold,Mumbai,2020-12-31
C00150,42,Gold,Delhi,2020-02-22
C00151,51,Silver,Bangalore,2020-03-02
C00152,45,Gold,Hyderabad,2022-03-11
C00153,28,Bronze,Pune,2022-08-06
C00154,30,Bronze,Bangalore,2022-03-18
C00155,48,Gold,Delhi,2020-11-04
C00156,42,Bronze,Bangalore,2020-01-24
C00157,56,Bronze,Mumbai,2021-07-11
C00158,27,Gold,Chennai,2020-02-05
C00159,41,Gold,Bangalore,2021-02-14
C00160,18,Bronze,Hyderabad,2022-09-11
C00161,42,Bronze,Bangalore,2020-12-22
C00162,45,Bronze,Pune,2021-07-21
C00163,53,Silver,Bangalore,2022-01-22
C00164,35,Silver,Chennai,2020-07-05
C00165,23,Silver,Mumbai,2020-04-07
C00166,19,Gold,Bangalore,2021-05-12
C00167,20,Silver,Hyderabad,2021-03-11
C00168,25,Gold,Delhi,2022-05-02
C00169,48,Gold,Bangalore,2022-02-25
C00170,36,Silver,Bangalore,2020-10-31
C00171,23,Silver,Pune,2021-01-26
C00172,31,Silver,Hyderabad,2022-09-02
C00173,20,Bronze,Chennai,2022-02-22
C00174,18,Silver,Delhi,2021-01-19
C00175,47,Bronze,Mumbai,2022-02-14
C00176,36,Gold,Bangalore,2020-03-13
C00177,36,Bronze,Chennai,2022-08-11
C00178,26,Silver,Delhi,2020-09-27
C00179,24,Gold,Mumbai,2021-02-01
C00180,54,Gold,Chennai,2020-12-24
C00181,58,Gold,Hyderabad,2021-05-31
C00182,24,Bronze,Hyderabad,2021-03-05
C00183,26,Silver,Delhi,2020-05-25
C00184,21,Gold,Mumbai,2021-08-20
C00185,42,Gold,Hyderabad,2022-04-03
C00186,29,Gold,Delhi,2021-07-28
C00187,23,Bronze,Hyderabad,2022-03-18
C00188,35,Bronze,Hyderabad,2022-06-15
C00189,57,Silver,Chennai,2021-09-14
C00190,38,Bronze,Chennai,2021-02-20
C00191,32,Gold,Hyderabad,2022-02-25
C00192,20,Silver,Pune,2021-12-10
C00193,19,Gold,Chennai,2020-11-25
C00194,58,Gold,Mumbai,2022-08-25
C00195,57,Bronze,Delhi,2022-08-22
C00196,21,Silver,Delhi,2021-02-02
C00197,49,Bronze,Mumbai,2020-07-10
C00198,19,Bronze,Mumbai,2022-05-12
C00199,46,Silver,Mumbai,2021-04-28
C00200,19,Gold,Mumbai,2021-07-15
C00201,51,Gold,Bangalore,2022-07-16
C00202,44,Silver,Delhi,2020-11-28
C00203,56,Gold,Bangalore,2022-08-19
C00204,55,Silver,Hyderabad,2020-09-22
C00205,35,Silver,Hyderabad,2021-01-16
C00206,53,Bronze,Delhi,2020-12-15
C00207,36,Silver,Hyderabad,2022-07-25
C00208,44,Bronze,Mumbai,2021-06-17
C00209,37,Gold,Bangalore,2020-04-07
C00210,38,Gold,Mumbai,2020-11-08
C00211,40,Gold,Hyderabad,2020-07-02
C00212,47,Gold,Chennai,2022-06-05
C00213,42,Bronze,Bangalore,2020-12-24
C00214,48,Gold,Mumbai,2021-04-23
C00215,44,Silver,Delhi,2021-04-09
C00216,51,Silver,Mumbai,2021-07-14
C00217,25,Silver,Chennai,2020-09-29
C00218,36,Bronze,Hyderabad,2022-02-03
C00219,58,Gold,Bangalore,2021-09-13
C00220,43,Gold,Delhi,2020-12-06
C00221,45,Gold,Bangalore,2020-11-23
C00222,21,Bronze,Delhi,2021-06-02
C00223,48,Silver,Bangalore,2020-11-08
C00224,33,Silver,Hyderabad,2020-08-19
C00225,27,Gold,Delhi,2022-04-20
C00226,55,Silver,Pune,2020-04-22
C00227,27,Silver,Bangalore,2021-06-28
C00228,26,Bronze,Bangalore,2022-07-13
C00229,56,Bronze,Mumbai,2021-01-08
C00230,53,Bronze,Delhi,2022-02-19
C00231,53,Bronze,Chennai,2020-08-15
C00232,36,Gold,Pune,2022-06-11
C00233,36,Bronze,Hyderabad,2021-04-16
C00234,29,Silver,Mumbai,2022-09-15
C00235,30,Gold,Pune,2021-06-24
C00236,42,Silver,Delhi,2021-07-31
C00237,53,Silver,Pune,2022-01-05
C00238,42,Silver,Bangalore,2022-05-31
C00239,45,Bronze,Bangalore,2020-05-30
C00240,59,Bronze,Mumbai,2020-11-02
C00241,56,Gold,Delhi,2020-08-29
C00242,47,Gold,Delhi,2022-05-31
C00243,22,Bronze,Pune,2021-12-31
C00244,34,Silver,Mumbai,2020-10-31
C00245,35,Gold,Delhi,2021-07-23
C00246,38,Bronze,Chennai,2020-11-14
C00247,39,Bronze,Chennai,2021-09-25
C00248,56,Bronze,Bangalore,2021-03-31
C00249,23,Silver,Pune,2021-11-05
C00250,33,Bronze,Hyderabad,2021-07-30
C00251,19,Bronze,Bangalore,2020-12-18
C00252,18,Bronze,Mumbai,2021-01-08
C00253,47,Bronze,Delhi,2022-01-03
C00254,54,Gold,Bangalore,2021-04-09
C00255,40,Gold,Hyderabad,2022-06-05
C00256,18,Bronze,Hyderabad,2020-10-18
C00257,36,Silver,Chennai,2021-06-19
C00258,20,Gold,Mumbai,2021-03-09
C00259,19,Bronze,Bangalore,2022-03-02
C00260,54,Gold,Pune,2021-11-07
C00261,34,Gold,Bangalore,2022-03-16
C00262,45,Silver,Chennai,2021-09-18
C00263,35,Bronze,Hyderabad,2020-05-10
C00264,50,Bronze,Mumbai,2022-03-27
C00265,32,Silver,Mumbai,2020-09-19
C00266,39,Silver,Pune,2022-06-24
C00267,58,Bronze,Mumbai,2022-09-13
C00268,44,Bronze,Chennai,2020-10-31
C00269,54,Silver,Chennai,2021-12-07
C00270,49,Gold,Chennai,2020-05-04
C00271,36,Gold,Mumbai,2020-05-24
C00272,45,Silver,Mumbai,2021-08-10
C00273,45,Gold,Chennai,2022-06-06
C00274,27,Silver,Mumbai,2020-08-11
C00275,37,Gold,Mumbai,2022-08-29
C00276,42,Gold,Hyderabad,2022-06-02
C00277,38,Bronze,Bangalore,2020-03-29
C00278,31,Bronze,Delhi,2021-09-18
C00279,39,Gold,Mumbai,2020-03-02
C00280,43,Gold,Delhi,2020-07-08
C00281,28,Bronze,Delhi,2020-06-28
C00282,24,Bronze,Hyderabad,2022-04-06
C00283,34,Bronze,Mumbai,2020-02-28
C00284,35,Silver,Chennai,2022-04-09
C00285,24,Gold,Delhi,2020-03-07
C00286,37,Bronze,Mumbai,2021-01-02
C00287,55,Gold,Pune,2021-02-10
C00288,28,Silver,Chennai,2022-05-13
C00289,33,Silver,Pune,2021-12-04
C00290,44,Bronze,Pune,2020-03-20
C00291,28,Silver,Delhi,2021-06-25
C00292,33,Gold,Pune,2020-02-08
C00293,40,Bronze,Hyderabad,2021-05-09
C00294,29,Gold,Hyderabad,2021-12-11
C00295,57,Gold,Delhi,2021-10-13
C00296,20,Silver,Mumbai,2021-11-05
C00297,19,Silver,Bangalore,2020-10-08
C00298,55,Silver,Mumbai,2021-01-18
C00299,41,Silver,Mumbai,2022-07-02
C00300,46,Silver,Mumbai,2021-12-17
C00301,51,Bronze,Mumbai,2020-08-11
C00302,37,Gold,Chennai,2020-06-20
C00303,35,Gold,Bangalore,2020-04-08
C00304,31,Gold,Chennai,2021-01-27
C00305,35,Gold,Pune,2022-05-14
C00306,19,Silver,Mumbai,2021-03-04
C00307,18,Gold,Hyderabad,2020-01-18
C00308,37,Bronze,Delhi,2022-01-18
C00309,51,Bronze,Delhi,2022-05-19
C00310,58,Gold,Chennai,2022-06-13
C00311,58,Gold,Chennai,2020-05-05
C00312,28,Bronze,Hyderabad,2020-04-16
C00313,44,Bronze,Mumbai,2021-03-01
C00314,40,Silver,Bangalore,2021-01-27
C00315,55,Bronze,Pune,2021-04-23
C00316,20,Silver,Delhi,2020-06-09
C00317,29,Silver,Pune,2021-02-11
C00318,47,Silver,Bangalore,2021-12-24
C00319,48,Silver,Chennai,2020-07-16
C00320,40,Silver,Delhi,2021-07-08
C00321,18,Gold,Pune,2021-04-27
C00322,58,Bronze,Chennai,2021-09-30
C00323,37,Silver,Bangalore,2022-08-17
C00324,23,Bronze,Pune,2021-09-06
C00325,28,Bronze,Mumbai,2020-04-06
C00326,52,Silver,Chennai,2021-09-20
C00327,21,Gold,Bangalore,2021-02-23
C00328,46,Silver,Pune,2020-03-26
C00329,27,Gold,Mumbai,2022-02-12
C00330,46,Bronze,Mumbai,2021-07-22
C00331,55,Gold,Bangalore,2021-04-06
C00332,18,Gold,Hyderabad,2021-02-02
C00333,57,Gold,Delhi,2020-05-29
C00334,25,Bronze,Bangalore,2021-12-28
C00335,55,Bronze,Mumbai,2021-09-17
C00336,34,Gold,Mumbai,2022-02-12
C00337,36,Gold,Bangalore,2020-06-17
C00338,50,Silver,Hyderabad,2020-08-09
C00339,32,Gold,Delhi,2020-06-18
C00340,48,Silver,Pune,2021-01-21
C00341,38,Gold,Bangalore,2021-08-26
C00342,20,Silver,Delhi,2021-08-01
C00343,19,Bronze,Delhi,2022-03-16
C00344,52,Gold,Chennai,2020-02-03
C00345,58,Gold,Mumbai,2021-04-10
C00346,33,Gold,Pune,2020-12-12
C00347,38,Gold,Bangalore,2020-06-25
C00348,29,Silver,Mumbai,2020-02-17
C00349,45,Gold,Chennai,2021-12-16
C00350,29,Bronze,Chennai,2021-01-01
C00351,50,Bronze,Mumbai,2021-08-06
C00352,37,Gold,Hyderabad,2021-11-25
C00353,57,Bronze,Delhi,2021-05-11
C00354,38,Gold,Bangalore,2022-03-17
C00355,56,Gold,Bangalore,2020-03-10
C00356,58,Bronze,Bangalore,2021-07-26
C00357,59,Gold,Mumbai,2020-11-30
C00358,53,Bronze,Hyderabad,2021-07-25
C00359,39,Silver,Pune,2020-08-13
C00360,43,Gold,Chennai,2021-09-30
C00361,24,Silver,Mumbai,2022-06-22
C00362,24,Bronze,Pune,2021-08-07
C00363,25,Silver,Chennai,2021-12-20
C00364,43,Silver,Chennai,2022-03-17
C00365,41,Bronze,Hyderabad,2021-09-14
C00366,41,Silver,Delhi,2022-07-25
C00367,57,Silver,Bangalore,2022-03-15
C00368,29,Bronze,Pune,2021-01-06
C00369,25,Silver,Mumbai,2021-09-26
C00370,26,Bronze,Pune,2020-01-16
C00371,20,Silver,Delhi,2021-10-01
C00372,38,Bronze,Bangalore,2020-12-25
C00373,48,Bronze,Pune,2021-12-05
C00374,41,Silver,Delhi,2021-01-17
C00375,21,Silver,Mumbai,2020-07-29
C00376,37,Silver,Hyderabad,2022-06-11
C00377,33,Gold,Chennai,2022-01-14
C00378,27,Gold,Mumbai,2020-08-04
C00379,43,Gold,Bangalore,2022-02-14
C00380,46,Bronze,Chennai,2021-01-22
C00381,22,Silver,Mumbai,2022-01-27
C00382,28,Bronze,Mumbai,2020-08-16
C00383,46,Gold,Mumbai,2020-12-08
C00384,32,Silver,Mumbai,2020-11-06
C00385,23,Bronze,Chennai,2021-08-03
C00386,32,Silver,Bangalore,2021-03-08
C00387,37,Bronze,Delhi,2022-05-17
C00388,51,Silver,Pune,2021-08-31
C00389,19,Gold,Hyderabad,2021-04-19
C00390,33,Gold,Pune,2022-01-08
C00391,36,Silver,Pune,2020-08-16
C00392,51,Bronze,Hyderabad,2021-04-25
C00393,31,Gold,Chennai,2021-12-27
C00394,41,Gold,Bangalore,2022-01-07
C00395,45,Gold,Hyderabad,2020-03-28
C00396,49,Silver,Bangalore,2022-08-17
C00397,54,Silver,Chennai,2020-07-06
C00398,27,Bronze,Pune,2022-06-10
C00399,26,Bronze,Bangalore,2020-10-22
C00400,41,Bronze,Chennai,2020-08-31
C00401,53,Silver,Chennai,2020-07-11
C00402,46,Silver,Delhi,2022-04-25
C00403,46,Bronze,Hyderabad,2022-01-13
C00404,40,Bronze,Delhi,2021-11-30
C00405,44,Silver,Pune,2021-06-15
C00406,48,Bronze,Hyderabad,2021-09-26
C00407,24,Gold,Pune,2022-05-27
C00408,21,Silver,Delhi,2021-06-12
C00409,31,Bronze,Chennai,2021-04-13
C00410,59,Silver,Pune,2020-05-16
C00411,59,Gold,Hyderabad,2022-03-14
C00412,27,Silver,Hyderabad,2021-10-22
C00413,51,Silver,Pune,2022-07-07
C00414,43,Silver,Hyderabad,2022-09-18
C00415,40,Silver,Chennai,2021-01-04
C00416,26,Gold,Chennai,2021-10-18
C00417,54,Silver,Hyderabad,2021-08-26
C00418,25,Silver,Pune,2020-11-02
C00419,31,Bronze,Delhi,2020-04-11
C00420,24,Silver,Hyderabad,2021-08-26
C00421,24,Bronze,Hyderabad,2020-10-31
C00422,26,Gold,Hyderabad,2022-01-15
C00423,20,Gold,Hyderabad,2021-02-26
C00424,31,Gold,Pune,2020-08-22
C00425,34,Gold,Delhi,2020-01-01
C00426,39,Bronze,Delhi,2020-10-05
C00427,43,Silver,Bangalore,2022-04-18
C00428,45,Gold,Hyderabad,2022-08-05
C00429,31,Silver,Hyderabad,2020-05-30
C00430,26,Bronze,Bangalore,2020-04-10
C00431,43,Bronze,Delhi,2022-01-05
C00432,19,Bronze,Mumbai,2022-07-21
C00433,28,Gold,Chennai,2020-11-28
C00434,34,Silver,Mumbai,2020-06-18
C00435,51,Silver,Delhi,2021-10-25
C00436,36,Silver,Hyderabad,2020-02-14
C00437,56,Bronze,Mumbai,2021-12-14
C00438,35,Gold,Pune,2021-12-09
C00439,30,Bronze,Pune,2020-03-06
C00440,22,Bronze,Bangalore,2020-05-06
C00441,40,Silver,Delhi,2021-07-05
C00442,41,Bronze,Delhi,2020-01-21
C00443,46,Silver,Mumbai,2022-01-16
C00444,25,Gold,Hyderabad,2020-05-02
C00445,43,Silver,Delhi,2021-01-15
C00446,32,Gold,Mumbai,2020-07-15
C00447,18,Silver,Mumbai,2021-02-04
C00448,45,Bronze,Chennai,2022-01-07
C00449,31,Bronze,Chennai,2020-08-12
C00450,59,Gold,Delhi,2021-04-13
C00451,51,Gold,Mumbai,2020-07-08
C00452,48,Gold,Bangalore,2021-06-28
C00453,23,Silver,Bangalore,2022-06-09
C00454,22,Silver,Chennai,2020-03-06
C00455,48,Gold,Delhi,2021-10-17
C00456,54,Bronze,Hyderabad,2021-10-22
C00457,32,Silver,Bangalore,2021-11-09
C00458,32,Silver,Bangalore,2020-05-14
C00459,22,Silver,Chennai,2022-03-01
C00460,45,Gold,Chennai,2020-06-15
C00461,50,Gold,Delhi,2021-09-04
C00462,28,Gold,Chennai,2020-01-02
C00463,23,Gold,Pune,2022-06-19
C00464,40,Gold,Mumbai,2021-09-14
C00465,57,Bronze,Bangalore,2021-09-03
C00466,19,Bronze,Pune,2022-02-03
C00467,32,Gold,Hyderabad,2020-05-10
C00468,40,Silver,Pune,2020-01-06
C00469,39,Gold,Delhi,2020-06-28
C00470,26,Bronze,Hyderabad,2021-10-19
C00471,57,Bronze,Hyderabad,2021-04-17
C00472,47,Silver,Chennai,2021-04-28
C00473,33,Bronze,Pune,2021-07-17
C00474,47,Gold,Delhi,2021-07-01
C00475,26,Silver,Bangalore,2020-01-13
C00476,18,Gold,Chennai,2022-03-15
C00477,55,Gold,Pune,2021-08-27
C00478,25,Silver,Bangalore,2021-01-07
C00479,35,Gold,Pune,2021-08-13
C00480,44,Bronze,Chennai,2021-12-16
C00481,35,Gold,Bangalore,2022-05-31
C00482,49,Silver,Chennai,2022-06-14
C00483,49,Silver,Pune,2021-03-01
C00484,53,Silver,Hyderabad,2021-06-14
C00485,53,Gold,Mumbai,2021-04-18
C00486,38,Silver,Hyderabad,2021-08-08
C00487,49,Silver,Chennai,2022-02-14
C00488,48,Gold,Chennai,2021-03-16
C00489,54,Bronze,Chennai,2020-09-06
C00490,33,Gold,Bangalore,2021-12-28
C00491,31,Silver,Delhi,2021-09-04
C00492,41,Silver,Chennai,2020-12-13
C00493,42,Gold,Hyderabad,2021-08-13
C00494,52,Bronze,Mumbai,2022-03-04
C00495,34,Silver,Chennai,2020-03-09
C00496,59,Silver,Chennai,2022-03-02
C00497,21,Silver,Chennai,2020-09-02
C00498,28,Gold,Bangalore,2021-10-12
C00499,32,Silver,Chennai,2021-08-11
C00500,47,Bronze,Hyderabad,2022-06-21
C00501,41,Silver,Pune,2021-08-06
C00502,19,Silver,Delhi,2022-07-16
C00503,51,Bronze,Chennai,2020-06-30
C00504,40,Silver,Bangalore,2020-07-21
C00505,48,Gold,Hyderabad,2022-08-14
C00506,54,Gold,Chennai,2022-01-29
C00507,30,Gold,Bangalore,2020-08-23
C00508,50,Bronze,Pune,2022-08-28
C00509,24,Silver,Mumbai,2020-07-20
C00510,49,Gold,Chennai,2021-02-02
C00511,24,Bronze,Hyderabad,2021-11-08
C00512,59,Silver,Bangalore,2020-12-25
C00513,55,Bronze,Bangalore,2021-01-15
C00514,30,Gold,Chennai,2021-02-14
C00515,41,Gold,Bangalore,2021-02-07
C00516,45,Gold,Mumbai,2021-01-15
C00517,49,Bronze,Bangalore,2021-01-02
C00518,35,Bronze,Delhi,2020-05-03
C00519,51,Gold,Delhi,2020-08-19
C00520,51,Bronze,Bangalore,2021-11-28
C00521,55,Gold,Chennai,2020-06-04
C00522,18,Gold,Delhi,2021-11-21
C00523,59,Silver,Hyderabad,2022-09-16
C00524,48,Bronze,Delhi,2020-08-05
C00525,18,Gold,Bangalore,2021-11-03
C00526,33,Gold,Chennai,2020-11-30
C00527,56,Bronze,Pune,2020-03-27
C00528,32,Silver,Chennai,2022-08-20
C00529,50,Silver,Chennai,2021-12-15
C00530,40,Gold,Chennai,2020-11-15
C00531,58,Bronze,Hyderabad,2021-02-23
C00532,51,Silver,Mumbai,2022-01-12
C00533,34,Bronze,Bangalore,2020-05-09
C00534,42,Bronze,Mumbai,2022-05-01
C00535,59,Gold,Pune,2021-09-17
C00536,23,Silver,Mumbai,2020-10-03
C00537,48,Gold,Bangalore,2021-12-19
C00538,22,Silver,Bangalore,2021-02-18
C00539,57,Silver,Pune,2020-10-23
C00540,57,Silver,Bangalore,2022-09-26
C00541,47,Silver,Pune,2021-09-19
C00542,22,Silver,Pune,2021-02-18
C00543,29,Bronze,Bangalore,2020-08-13
C00544,24,Gold,Delhi,2021-02-27
C00545,30,Bronze,Pune,2021-04-05
C00546,21,Silver,Bangalore,2021-09-10
C00547,59,Gold,Delhi,2020-10-28
C00548,20,Silver,Pune,2020-02-02
C00549,29,Gold,Delhi,2021-05-31
C00550,18,Bronze,Hyderabad,2022-08-07
C00551,44,Gold,Chennai,2022-03-11
C00552,30,Gold,Hyderabad,2020-06-25
C00553,34,Gold,Delhi,2021-11-02
C00554,25,Gold,Pune,2022-02-15
C00555,49,Gold,Bangalore,2022-03-17
C00556,37,Silver,Mumbai,2020-02-18
C00557,34,Gold,Bangalore,2021-06-20
C00558,51,Gold,Mumbai,2021-05-20
C00559,52,Bronze,Mumbai,2022-01-17
C00560,52,Gold,Pune,2021-10-17
C00561,55,Bronze,Delhi,2022-02-07
C00562,59,Silver,Bangalore,2022-05-06
C00563,41,Gold,Delhi,2020-10-03
C00564,35,Bronze,Hyderabad,2021-12-05
C00565,56,Bronze,Pune,2022-03-16
C00566,50,Silver,Pune,2021-04-22
C00567,40,Gold,Hyderabad,2021-03-17
C00568,42,Gold,Bangalore,2021-01-28
C00569,54,Bronze,Chennai,2020-11-27
C00570,44,Gold,Hyderabad,2020-10-22
C00571,18,Bronze,Bangalore,2021-05-17
C00572,38,Gold,Mumbai,2020-08-08
C00573,27,Bronze,Pune,2020-12-01
C00574,48,Gold,Bangalore,2020-02-25
C00575,42,Silver,Delhi,2020-02-11
C00576,37,Gold,Delhi,2021-11-05
C00577,19,Gold,Pune,2021-10-30
C00578,32,Silver,Hyderabad,2020-06-30
C00579,45,Gold,Chennai,2021-05-26
C00580,30,Silver,Hyderabad,2021-10-29
C00581,31,Gold,Bangalore,2021-08-21
C00582,19,Bronze,Hyderabad,2022-07-07
C00583,51,Bronze,Pune,2020-08-09
C00584,52,Gold,Bangalore,2020-04-16
C00585,54,Gold,Mumbai,2021-02-19
C00586,42,Gold,Hyderabad,2020-10-31
C00587,32,Bronze,Hyderabad,2021-08-25
C00588,29,Gold,Chennai,2021-06-20
C00589,26,Bronze,Bangalore,2022-03-23
C00590,48,Silver,Delhi,2020-10-17
C00591,31,Bronze,Hyderabad,2020-07-01
C00592,46,Bronze,Pune,2021-07-07
C00593,55,Silver,Hyderabad,2022-05-21
C00594,59,Bronze,Chennai,2021-02-03
C00595,25,Gold,Mumbai,2021-03-17
C00596,20,Gold,Chennai,2020-06-15
C00597,19,Bronze,Hyderabad,2020-05-01
C00598,33,Gold,Delhi,2022-03-24
C00599,36,Bronze,Hyderabad,2020-12-14
C00600,47,Gold,Bangalore,2022-06-18
C00601,58,Gold,Hyderabad,2021-11-07
C00602,33,Bronze,Delhi,2021-09-24
C00603,48,Gold,Bangalore,2020-08-10
C00604,45,Bronze,Pune,2020-10-06
C00605,21,Gold,Bangalore,2022-09-02
C00606,27,Gold,Chennai,2021-01-07
C00607,35,Silver,Mumbai,2020-09-20
C00608,49,Silver,Chennai,2020-05-28
C00609,47,Bronze,Bangalore,2020-05-27
C00610,53,Silver,Pune,2020-06-19
